food_name,nutrition_name,price_per_100g,source_price,source_nutrition,date,energy_kcal,protein_g,fat_g,fiber_g,carbohydrate_g,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,iron_mg,zinc_mg,copper_mg,vitamin_a_ug,vitamin_d_ug,vitamin_e_mg,vitamin_k_ug,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_b6_mg,vitamin_b12_ug,folate_ug,pantothenic_mg,vitamin_c_mg
にんじん,（にんじん類）　にんじん　根　皮つき　生,17.49,東京都中央卸売市場,文部科学省食品成分表八訂,2025-06-01,35.0,0.7,0.2,2.8,9.3,300.0,28.0,10.0,26.0,0.2,0.2,0.05,720.0,0.0,0.4,17.0,0.07,0.06,0.8,0.1,0.0,21.0,0.37,6.0
ねぎ,（ねぎ類）　根深ねぎ　葉　軟白　生,41.69,東京都中央卸売市場,文部科学省食品成分表八訂,2025-06-01,35.0,1.4,0.1,2.5,8.3,200.0,36.0,13.0,27.0,0.3,0.3,0.04,7.0,0.0,0.2,8.0,0.05,0.04,0.4,0.12,0.0,72.0,0.17,14.0
はくさい,はくさい　結球葉　生,7.05,東京都中央卸売市場,文部科学省食品成分表八訂,2025-06-01,13.0,0.8,0.1,1.3,3.2,220.0,43.0,10.0,33.0,0.3,0.2,0.03,8.0,0.0,0.2,59.0,0.03,0.03,0.6,0.09,0.0,61.0,0.25,19.0
ほうれんそう,ほうれんそう　葉　通年平均　生,56.5,東京都中央卸売市場,文部科学省食品成分表八訂,2025-06-01,18.0,2.2,0.4,2.8,3.1,690.0,49.0,69.0,47.0,2.0,0.7,0.11,350.0,0.0,2.1,270.0,0.11,0.2,0.6,0.14,0.0,210.0,0.2,35.0
キャベツ,（キャベツ類）　キャベツ　結球葉　生,6.26,東京都中央卸売市場,文部科学省食品成分表八訂,2025-06-01,23.0,1.2,0.1,1.8,5.2,190.0,42.0,14.0,26.0,0.3,0.1,0.02,2.0,0.0,0.1,79.0,0.04,0.03,0.2,0.1,0.0,66.0,0.19,38.0
トマト,（トマト類）　赤色トマト　果実　生,34.02,東京都中央卸売市場,文部科学省食品成分表八訂,2025-06-01,20.0,0.7,0.1,1.0,4.7,210.0,7.0,9.0,26.0,0.2,0.1,0.04,45.0,0.0,0.9,4.0,0.05,0.02,0.7,0.08,0.0,22.0,0.17,15.0
ピーマン,（ピーマン類）　青ピーマン　果実　生,52.0,東京都中央卸売市場,文部科学省食品成分表八訂,2025-06-01,20.0,0.9,0.2,2.3,5.1,190.0,11.0,11.0,22.0,0.4,0.2,0.06,33.0,0.0,0.8,20.0,0.03,0.03,0.6,0.19,0.0,26.0,0.3,76.0
ブロッコリー,ブロッコリー　花序　生,62.1,東京都中央卸売市場,文部科学省食品成分表八訂,2025-06-01,37.0,5.4,0.6,5.1,6.6,460.0,50.0,29.0,110.0,1.3,0.8,0.1,75.0,0.0,3.0,210.0,0.17,0.23,1.0,0.3,0.0,220.0,1.42,140.0
ミニトマト,（トマト類）　赤色ミニトマト　果実　生,38.87,東京都中央卸売市場,文部科学省食品成分表八訂,2025-06-01,30.0,1.1,0.1,1.4,7.2,290.0,12.0,13.0,29.0,0.4,0.2,0.06,80.0,0.0,0.9,7.0,0.07,0.05,0.8,0.11,0.0,35.0,0.17,32.0
レタス,（レタス類）　レタス　土耕栽培　結球葉　生,10.53,東京都中央卸売市場,文部科学省食品成分表八訂,2025-06-01,11.0,0.6,0.1,1.1,2.8,200.0,19.0,8.0,22.0,0.3,0.2,0.04,20.0,0.0,0.3,29.0,0.05,0.03,0.2,0.05,0.0,73.0,0.2,5.0
学校給食用牛乳,（液状乳類）　普通牛乳,32.25,学校給食供給価格,文部科学省食品成分表八訂,2025-06-01,61.0,3.3,3.8,0.0,4.8,150.0,110.0,10.0,93.0,0.02,0.4,0.01,39.0,0.3,0.1,2.0,0.04,0.15,0.2,0.03,0.3,5.0,0.55,1.0
